,,,Dog,,,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,
State,Year,Org Count,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care,Gross Intakes,Community Intakes,Gross Outcomes,Stray at Large,Relinquished by Owner,Seized,Other Intakes,Transferred In,Adoption,Return to Owner,Return to Field,Other Live Outcomes,Transferred Out,Shelter Euthanasia,Died in Care,Lost in Care
KS,2024,163,"58,555","48,948","56,152","30,292","13,282","2,528","2,846","9,607","29,712","11,329",73,867,"7,892","5,723",467,88,"47,843","40,967","45,574","24,181","13,219",786,"2,781","6,875","28,800","1,413","3,323",754,"5,722","4,122","1,317",123
KS,2025,163,"57,206","47,207","55,873","28,445","13,389","2,588","2,784","9,999","29,830","11,251",75,726,"7,652","5,481",760,96,"46,248","39,721","45,452","23,015","13,216",820,"2,670","6,527","28,770","1,427","3,117",686,"5,762","4,027","1,524",138
KY,2024,242,"80,635","70,625","78,842","41,445","21,340","3,128","4,712","10,009","40,011","13,612",129,"1,038","14,324","8,788",814,125,"67,043","58,903","64,348","35,788","18,373",869,"3,873","8,140","37,635","1,744","6,494",972,"8,775","6,697","1,882",148
KY,2025,242,"76,191","66,129","75,418","37,823","20,939","2,997","4,371","10,062","38,762","12,722",128,931,"13,727","8,255",717,175,"65,817","57,812","63,576","35,013","17,920",909,"3,969","8,004","36,937","1,933","6,503",992,"8,316","6,926","1,766",204
LA,2024,201,"70,087","62,011","66,515","37,028","14,392","6,891","3,700","8,076","30,810","10,061",77,771,"14,177","9,737",753,129,"61,817","57,272","58,628","40,538","9,800","3,210","3,724","4,546","28,571","2,511","11,631",944,"7,622","5,226","1,946",178
LA,2025,201,"68,486","59,501","66,902","33,455","14,784","7,215","4,047","8,985","31,814","10,184",94,947,"13,008","9,955",702,199,"64,094","59,085","63,182","40,650","10,809","3,970","3,657","5,009","31,330","1,680","12,325","1,150","7,833","6,458","2,137",270
MA,2024,159,"21,864","12,965","21,768","4,820","5,793",370,"1,982","8,899","15,852","2,155",8,219,"2,129","1,233",158,14,"35,532","24,232","34,185","11,206","10,872",207,"1,948","11,299","28,017",970,"1,060",172,"1,889","1,485",564,28
MA,2025,159,"21,665","12,514","22,314","4,259","5,739",350,"2,166","9,151","15,829","2,190",5,231,"2,540","1,242",191,85,"36,553","25,200","37,277","10,982","12,267",189,"1,763","11,352","30,372",964,996,268,"2,337","1,611",583,147
MD,2024,203,"39,736","31,692","38,836","15,195","9,667","1,246","5,583","8,044","22,808","5,936",28,524,"5,319","3,877",304,41,"55,747","48,416","56,375","28,638","13,660",669,"5,449","7,331","37,077","1,621","3,455",696,"7,407","4,537","1,502",79
MD,2025,203,"35,328","28,052","35,366","12,422","8,873","1,183","5,575","7,275","20,806","5,104",28,497,"5,066","3,457",294,115,"54,676","46,984","54,897","27,363","13,582",722,"5,317","7,692","36,296","1,692","3,274",664,"7,054","4,238","1,431",247
ME,2024,55,"8,002","5,266","7,916","1,842","2,384",237,804,"2,736","5,490","1,464",1,100,481,321,55,4,"18,551","14,582","18,853","6,110","6,844",167,"1,462","3,969","15,363",935,389,145,884,683,433,21
ME,2025,55,"7,275","5,048","7,353","1,917","2,470",213,448,"2,228","5,245","1,248",0,64,452,273,46,26,"16,781","13,327","17,335","5,711","6,540",108,968,"3,454","14,354",747,367,80,702,576,397,111
MI,2024,341,"65,741","53,071","62,683","29,903","15,480","1,691","5,996","12,670","35,370","9,795",43,"2,107","7,376","7,282",519,190,"77,346","67,472","71,962","37,437","23,148",660,"6,226","9,874","51,380","1,865","3,800","2,647","5,473","4,714","1,980",104
MI,2025,341,"67,465","53,091","66,466","29,138","16,419","1,509","6,025","14,374","37,313","10,416",90,"1,868","8,451","7,397",560,371,"75,570","65,913","72,649","35,409","24,455",685,"5,364","9,658","53,190","1,989","3,632","1,763","5,113","4,850","1,787",325
MN,2024,245,"62,884","48,171","61,541","25,843","15,469","3,174","3,685","14,713","37,409","9,927",50,793,"7,394","5,417",468,83,"72,850","60,868","71,603","32,562","22,044","1,753","4,508","11,982","50,265","1,982","4,665",907,"6,728","5,121","1,810",125
MN,2025,245,"62,981","46,951","62,092","23,975","16,280","3,241","3,455","16,030","36,937","9,942",41,721,"8,816","4,982",510,143,"78,413","65,025","79,077","33,840","25,030","1,786","4,369","13,388","55,179","2,324","4,329",961,"8,913","5,192","1,923",255
MO,2024,334,"109,157","94,490","107,079","55,058","25,392","8,277","5,763","14,667","58,914","19,345",153,"1,554","14,776","11,125","1,024",186,"92,863","81,687","89,992","48,732","23,206","2,400","7,348","11,176","56,521","3,513","8,233","1,500","9,682","7,739","2,546",257
MO,2025,334,"97,263","82,600","96,752","47,116","22,838","7,680","4,966","14,662","53,842","16,947",152,"1,336","13,540","9,860",858,218,"91,215","80,313","90,208","46,676","24,538","2,272","6,827","10,901","57,569","3,223","7,815","1,412","9,404","7,911","2,540",334
MS,2024,124,"43,696","34,535","41,368","19,790","10,225","1,944","2,577","9,160","21,004","5,382",57,518,"9,906","3,937",497,67,"27,529","24,218","26,077","15,041","6,795",716,"1,665","3,311","15,694",685,"2,523",478,"3,772","2,008",824,92
MS,2025,124,"40,836","32,487","40,191","18,261","9,931","1,933","2,362","8,349","20,806","5,337",37,461,"9,171","3,785",436,158,"27,704","23,944","26,803","14,572","6,939",564,"1,869","3,760","16,211",817,"1,847",970,"3,587","2,199",960,214
MT,2024,60,"18,874","16,591","18,823","9,257","4,814",618,"1,902","2,283","9,799","4,934",12,"1,248","1,709",985,106,29,"17,307","15,916","17,191","7,871","5,461",120,"2,464","1,391","11,600",788,619,"2,104",980,759,302,39
MT,2025,60,"18,556","15,951","18,187","8,456","4,970",574,"1,950","2,606","9,811","4,410",12,"1,107","1,757",922,121,48,"16,872","15,362","16,605","7,125","5,530",194,"2,514","1,509","11,288",756,825,"1,660",981,737,323,34
NC,2024,461,"113,192","91,146","110,080","51,572","26,758","5,215","7,601","22,046","64,343","15,665",79,"1,240","16,117","11,424","1,040",172,"103,551","87,934","99,893","55,641","23,753","1,997","6,542","15,617","65,761","2,457","4,756","1,935","11,758","10,056","2,873",298
NC,2025,461,"107,437","84,975","108,666","46,040","26,685","5,589","6,661","22,462","64,223","14,728",91,"1,216","15,925","11,077","1,058",348,"105,139","88,340","104,801","54,591","25,472","1,975","6,301","16,799","69,852","2,491","4,446","2,038","11,621","10,652","3,145",556
ND,2024,35,"8,632","7,131","8,351","3,849","2,281",315,686,"1,501","4,743","1,287",10,116,"1,461",636,88,12,"9,258","7,911","9,055","5,017","1,988",141,766,"1,346","6,168",351,604,142,920,637,212,21
ND,2025,35,"8,356","7,091","8,300","3,799","2,163",326,803,"1,265","4,872","1,367",11,114,"1,202",630,82,23,"10,420","8,996","10,105","5,481","2,300",167,"1,047","1,424","6,919",369,631,143,"1,000",736,264,43
NE,2024,105,"31,862","28,725","31,418","18,114","7,221","1,669","1,721","3,137","16,392","7,433",35,403,"3,643","3,215",249,47,"31,486","28,431","30,437","18,832","7,064",727,"1,808","3,055","19,555","1,169","2,503",422,"2,838","3,103",779,69
NE,2025,105,"30,778","27,453","30,772","16,531","7,595","1,678","1,649","3,325","16,684","7,106",35,359,"3,439","2,845",247,58,"31,696","28,783","30,776","18,927","7,297",742,"1,817","2,914","19,761","1,253","2,706",408,"2,835","2,913",819,80
NH,2024,54,"7,027","4,258","7,068","1,454","1,968",235,601,"2,769","5,112","1,069",1,72,501,246,64,2,"14,422","10,476","14,548","4,318","5,193",132,834,"3,946","12,120",469,324,80,855,353,339,8
NH,2025,54,"7,751","4,507","7,821","1,315","2,202",251,739,"3,244","5,725","1,094",1,95,536,280,59,32,"13,571","9,541","13,609","3,761","4,700",97,983,"4,030","11,299",610,296,67,651,301,288,96
